;index;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
17684;25262;Apartamento;Ipanema;2;1;0;105;6500.0;1500.0;380.0
17685;25264;Quitinete;Ipanema;1;0;0;25;1500.0;550.0;
17686;25266;Apartamento;Recreio dos Bandeirantes;2;1;1;70;2000.0;725.0;132.0
17687;25267;Apartamento;Leme;2;0;0;83;2400.0;588.0;111.0
17688;25270;Casa de Condomínio;Realengo;2;0;0;90;900.0;;
17689;25271;Apartamento;Barra da Tijuca;2;1;2;90;2600.0;1400.0;300.0
17690;25272;Quitinete;São Cristóvão;1;0;0;40;850.0;;
17691;25273;Apartamento;Tijuca;1;0;0;30;1000.0;420.0;21.0
17692;25274;Casa;Barra da Tijuca;4;4;2;600;30000.0;1100.0;
17693;25276;Apartamento;Ipanema;2;1;2;110;10000.0;2100.0;535.0
17694;25278;Apartamento;Jacarepaguá;4;2;3;156;3000.0;1610.0;254.0
17695;25279;Apartamento;Tijuca;3;1;0;96;2000.0;960.0;1048.0
17696;25280;Apartamento;Botafogo;2;1;0;75;3200.0;920.0;94.0
17697;25281;Apartamento;Urca;3;2;1;165;8500.0;3500.0;500.0
17698;25282;Apartamento;Ipanema;4;2;3;450;25000.0;3100.0;1500.0
17699;25283;Apartamento;Barra da Tijuca;2;1;1;80;2400.0;1200.0;
17700;25284;Apartamento;Ipanema;1;1;0;41;2500.0;550.0;50.0
17701;25285;Casa de Condomínio;Barra da Tijuca;4;2;3;372;9800.0;2333.0;14204.0
17702;25286;Apartamento;Barra da Tijuca;2;1;1;77;2500.0;800.0;150.0
17703;25288;Apartamento;Copacabana;4;1;1;230;6200.0;1580.0;198.0
17704;25289;Apartamento;Copacabana;5;1;5;280;20000.0;2300.0;700.0
17705;25290;Apartamento;Botafogo;1;0;0;48;1900.0;456.0;
17706;25291;Casa de Condomínio;Recreio dos Bandeirantes;4;2;4;260;9000.0;7068.0;8024.0
17707;25292;Apartamento;Campo Grande;1;1;0;40;500.0;200.0;
17708;25293;Apartamento;Flamengo;3;1;1;140;2800.0;2300.0;
17709;25296;Apartamento;Pechincha;2;1;0;73;1300.0;700.0;785.0
